Date,Price,Open,High,Low,Vol.,Change %
14/12/07,"16,623.08","16,627.23","16,818.34","16,550.85",,-0.12%
13/12/07,"16,642.83","16,698.58","16,722.79","16,458.10",,-1.46%
12/12/07,"16,889.31","17,060.56","17,169.99","16,889.31",,-0.17%
11/12/07,"16,918.52","17,393.55","17,411.60","16,872.12",,-2.14%
10/12/07,"17,289.35","17,367.82","17,551.61","17,235.88",,-0.66%
07/12/07,"17,404.63","17,624.11","17,634.70","17,325.18",,-1.00%
06/12/07,"17,581.21","17,538.77","17,618.11","17,411.24",,0.53%
05/12/07,"17,488.58","17,467.42","17,583.60","17,424.96",,0.85%
04/12/07,"17,341.79","17,053.67","17,345.26","16,956.32",,0.57%
03/12/07,"17,242.76","17,253.48","17,364.67","17,185.47",,0.57%
30/11/07,"17,145.07","16,841.83","17,162.27","16,811.98",,3.16%
29/11/07,"16,619.66","16,551.76","16,890.13","16,480.98",,0.22%
28/11/07,"16,583.19","16,157.79","16,655.81","16,117.14",,3.64%
27/11/07,"16,000.58","15,921.76","16,107.54","15,817.34",,-0.13%
26/11/07,"16,021.50","16,688.70","16,688.76","16,013.94",,-3.76%
23/11/07,"16,648.11","16,712.62","16,755.32","16,572.36",,0.29%
22/11/07,"16,600.36","16,580.58","16,710.67","16,452.67",,0.49%
21/11/07,"16,518.83","16,985.94","16,985.94","16,342.37",,-3.46%
19/11/07,"17,110.13","17,495.71","17,527.59","17,110.13",,-2.71%
16/11/07,"17,586.26","17,703.63","17,744.55","17,514.85",,-0.29%
14/11/07,"17,637.98","17,356.64","17,753.27","17,290.11",,2.28%
